逆温度,内部エネルギー,比熱,自発磁化,転移温度
0.11,-0.2245081105295125,0.00000000000000000000000035486966339677885,0,164362256570550660000000
0.2,-0.4282288332403476,0.0000000000000000000000013481859637865528,0,164362256570550660000000
0.64,-1.937588305447145,0.000000000000000000000003264237240195628,1,164362256570550660000000
1.17,-1.999291474178304,0.00000000000000000000000010865774370986005,1,164362256570550660000000
1.7,-1.9999900427689692,0.0000000000000000000000000031836232521091024,1,164362256570550660000000
2.23,-1.9999998569622581,0.00000000000000000000000000007857879112982661,1,164362256570550660000000
2.76,-1.9999999979398981,0.0000000000000000000000000000017333059336914605,1,164362256570550660000000
3.29,-1.9999999999703202,0.00000000000000000000000000000003548246572832345,1,164362256570550660000000
3.82,-1.9999999999995728,0.0000000000000000000000000000000006892844619955685,1,164362256570550660000000
4.88,-2,0.0000000000000000000000000000000000002852234801182433,1,164362256570550660000000
