逆温度,内部エネルギー,内部エネルギー標準誤差,比熱,比熱標準誤差,自発磁化,磁化標準誤差
0.11,246.6273333333334,22.220699956612478,531.7296126163999,180.26499928739014,-123.93333333333334,11.166180882719837
0.2,-6.2353333333333305,17.510334247186425,1091.5380273955557,134.19324871761123,3.1333333333333333,8.799162938284637
0.64,-498.2075555555555,38.659294598249396,54482.59757516671,17555.643641998733,250.35555555555555,19.42678120515045
1.17,-842.6544444444447,46.51312150257052,263580.15088113694,118874.77268858417,423.44444444444446,23.373427890738952
1.7,-2031.3035555555552,20.209198386712067,105047.57321128574,233458.80452824407,1020.7555555555556,10.155376073724662
2.23,-2106.525555555556,11.965979665955903,63371.830763854705,247595.15860511787,1058.5555555555557,6.013055108520555
2.76,-2140.222888888889,11.067137698387388,83038.36659453694,356391.20152859454,1075.4888888888888,5.561375727832859
3.29,-2133.10311111111,10.196704899260736,100161.65775853106,473931.8421946769,1071.911111111111,5.123972311186299
3.82,-2241.8455555555533,8.931054922305998,103591.05419262753,584804.5306364694,1126.5555555555557,4.487967297641204
4.88,-2297.2560000000003,8.279347837796522,145285.3782365914,904212.1890374842,1154.4,4.160476300400264
